"loc"	"lambda"	"rho"
98	1.35098466018367	0.512158575395106
99	1.390351639794	0.49797853598306
100	1.34129842574647	0.492012460149625
1	0.980813409892825	1.57096269438014
2	0.863060695715751	1.5153458016897
3	0.798699647984386	1.47568874626614
4	0.716523343674717	1.31020421748477
5	0.524375639040779	0.981748008522186
6	0.387947810708677	0.729621104553101
7	0.337317830046778	0.596595963815695
8	0.352269493327555	0.563009486881491
9	0.325694896200492	0.481240851805053
10	0.385600707811075	0.511236213275621
11	1.08819475253663	1.59708108529329
12	0.938029977355994	1.48352254111685
13	0.862507018595566	1.4451555276819
14	0.77873834595192	1.29616158740835
15	0.554380645485207	0.944894935189956
16	0.460510611708738	0.737156428857246
17	0.393284724807275	0.586920821670356
18	0.40372463889225	0.55100431329364
19	0.405650748047401	0.517554076927298
20	0.447996542864962	0.534768584844771
21	1.14103934145689	1.44997953555477
22	1.04617394515486	1.42592483341234
23	0.933922320045697	1.34902570292912
24	0.944817678988688	1.30334610624202
25	0.701060850951221	0.944047210436673
26	0.533840636073389	0.7003150826501
27	0.483373977858095	0.606684370700597
28	0.436018592545669	0.501147932719578
29	0.514462575705763	0.523233297766706
30	0.592642013219811	0.565365317275997
31	1.23260499697422	1.41349165970273
32	1.17278217381475	1.3942281393248
33	1.08914244812864	1.33113722876166
34	1.07125965701471	1.27495555168823
35	0.768227541815514	0.890473461523136
36	0.612027863039392	0.693970394015287
37	0.678895361699253	0.63976764323688
38	0.611484022809534	0.522412041202067
39	1.09720835971984	0.715391384689741
40	0.666950842239743	0.550959142354133
41	1.34547271789429	1.37361428943736
42	1.36756406957488	1.38990193968647
43	1.31107135201618	1.30544449638757
44	1.16993338874517	1.23058702163726
45	0.866539825290388	0.911889224929838
46	0.739040008182042	0.707117789487835
47	0.707394681223532	0.588859571481162
48	0.723500561321728	0.539316322991656
49	0.652973975068546	0.483374309012655
50	0.728451221598153	0.521893509873266
51	1.71952265727432	1.43093459208006
52	1.54739726341192	1.34069725170776
53	1.57239729380315	1.3271462734506
54	1.51119700641013	1.29012419782052
55	1.02254341096727	0.934518987447783
56	0.758629035877737	0.656975992581644
57	0.741533050301385	0.560492020992589
58	1.02930609975556	0.626349296120828
59	0.792082922403076	0.506421834398561
60	0.837314305797342	0.519810680549632
61	2.00868345245516	1.48812640105171
62	1.96116592170624	1.45069515868582
63	2.00866150167095	1.41933210656028
64	1.90198446278776	1.28489361766727
65	1.3037822889818	0.945543900248366
66	1.06443170437561	0.729774651293488
67	1.0176781756522	0.610613837803221
68	0.852643355363039	0.504058853046905
69	0.863037403851211	0.474444620937281
70	0.98027976346085	0.521686634308235
71	2.35316032427129	1.49763652500535
72	2.22959762819861	1.44366272492129
73	2.32783699190183	1.4361008974596
74	2.51678958512462	1.31631122423315
75	1.59888434635363	0.977948851889719
76	1.17275816790278	0.700542895035633
77	1.15106233001599	0.589371881748321
78	1.09804617544134	0.531406239551571
79	1.16256290881812	0.529813697216053
80	1.21634826344692	0.538429520637313
81	2.12186334387344	1.38902950099975
82	2.27226344885622	1.38179199605402
83	3.21891088517751	1.43863504826351
84	2.6143770023642	1.25008319223949
85	2.05257853270369	0.991678096741704
86	1.57406161946119	0.742233468732078
87	1.27686247786954	0.588132782431634
88	1.25732839888274	0.519431808430981
89	1.21325839201457	0.491022589960014
90	1.36472038611308	0.525224871675016
91	2.27353506589596	1.39340604934349
92	2.48332293514685	1.41455789720608
93	3.84545105208924	1.41401791910234
94	3.32100277447942	1.29113390364509
95	2.17669224163961	0.973972757835876
96	1.53792046038764	0.693168124359478
97	1.49951326544207	0.59807269643256
98	1.55409361666928	0.563972903689246
99	1.40316936926312	0.506592145003905
100	1.47426285579385	0.527774646480482
1	1.19320625691081	1.72614173605518
2	0.999715070400271	1.60337780361115
3	1.06533862730456	1.67117176459141
4	0.774696376425001	1.36911744225986
5	0.532792626655582	1.01279779140799
6	0.377553233898874	0.684702284376728
7	0.371149029138437	0.603546543654326
8	0.321720041221791	0.545528557898195
9	0.29396979919229	0.477757816721172
10	0.322361351256335	0.482328486804315
11	1.28460195890947	1.72484777510366
12	1.16068227880943	1.65738701106562
13	1.14645357227749	1.60548871348351
14	0.949921193518015	1.42418453605408
15	0.635384721666452	1.00419388434193
16	0.455003399343861	0.704914716689824
17	0.729814827522591	0.798672528916994
18	0.371101176056717	0.530136233551077
19	0.356668493357742	0.49008418124496
20	0.366953867797146	0.495782057723329
21	1.29374433990755	1.51327565635645
22	1.20076778222144	1.46866854776604
23	1.14880655749187	1.41995378456932
24	1.05765155438513	1.31265324008179
25	0.729382622003206	0.962842066901032
26	0.561584595777164	0.707417429579869
27	0.485611238634594	0.565469239925217
28	0.462194769318287	0.523132689149783
29	0.455274437532589	0.507558678075978
30	0.433242922021808	0.478588898176418
31	1.42036301704676	1.47498455673335
32	1.5319967650539	1.52520332107262
33	1.25720329933468	1.39240908902802
34	1.1876861367436	1.2872282789252
35	0.902100474636842	0.966408723396777
36	0.734696397784966	0.726020245577381
37	0.615784005243368	0.577017275382917
38	0.643111072029042	0.559317478207857
39	0.546058990610844	0.50332263121189
40	0.518304202118234	0.467579031024496
41	1.68022091277419	1.46399654521519
42	1.76126853111042	1.49964550538852
43	1.51567342085889	1.39118775922316
44	1.34911180275791	1.25246776206237
45	1.15083877062269	1.00938843642274
46	0.870620374492011	0.731703146148929
47	0.882588240000181	0.614887479046845
48	0.702454372729129	0.512293928612567
49	0.705277703081199	0.501104561061769
50	0.661882708514888	0.473847454678814
51	2.18582849100441	1.52009762025105
52	1.79897025186456	1.42364381036738
53	1.5707705248013	1.38707499186832
54	1.63206666863601	1.31909038706306
55	1.29952953322582	1.00025094308064
56	1.19934753898722	0.812267535651481
57	0.954120514551239	0.606959062298697
58	0.86635104978249	0.535811730155741
59	0.753341910882514	0.476831620437542
60	0.730058650264587	0.466045365192224
61	2.3985749980076	1.48851551388782
62	2.07851494976532	1.43494091920674
63	1.84679383463662	1.40948737160059
64	1.57557959314959	1.21014974378798
65	1.36196881826839	0.956648972801216
66	1.40040757442457	0.821541856371165
67	1.16078656252376	0.648867421383922
68	0.898764643486299	0.488797694121211
69	0.864806766150803	0.472672739140653
70	0.82513983664528	0.469239291050016
71	2.4818647360948	1.49601625270385
72	2.40783607984723	1.46384133671356
73	2.21931233574679	1.4126641691201
74	1.57097138934617	1.12908315842292
75	1.40945629299444	0.919567974449792
76	1.42928546804816	0.761966489581336
77	1.23394461738886	0.615212585529236
78	1.23424836516988	0.546371594110957
