"coopID"	"long"	"lat"	"elev"
144972	-96.5814	39.1972	324.6
145152	-97.6097	38.3772	463.3
145173	-98.58	37.2767	448.1
145363	-97.7047	39.1247	402.9
145856	-99.8356	39.7408	719.3
145906	-100.5331	39.8183	795.5
145972	-94.7603	38.8875	321.6
146128	-95.2808	38.6133	280.1
147093	-101.8097	39.7675	1024.7
147271	-100.9189	38.4819	905.3
147305	-96.1861	37.1317	274.3
147542	-98.7783	39.7772	542.5
148495	-99.8831	39.0297	749.8
150254	-82.6131	38.4536	170.7
150381	-83.8819	36.8825	301.8
150619	-84.2908	37.5733	326.1
150909	-86.4239	36.9647	160.9
152791	-83.55	38.1167	207.3
153028	-84.8825	38.2022	140.8
153430	-85.5022	37.2592	179.8
153762	-87.6456	37.7558	136.9
153994	-87.5206	36.8492	158.5
154703	-86.2892	37.5108	189
157324	-85.2	38.2	222.5
158709	-84.15	36.7333	286.5
158714	-84.6106	38.6586	286.5
160098	-92.4611	31.3206	26.5
160205	-90.525	30.7094	51.8
160537	-92.0056	32.7689	45.7
160549	-91.1469	30.5372	19.5
161287	-92.1786	30.9594	24.4
161411	-92.3478	32.5133	54.9
162151	-90.1114	30.5272	12.2
162534	-91.0275	30.0717	9.1
163313	-91.5442	29.8233	3.7
163800	-92.0439	30.4192	16.8
164407	-90.7303	29.5858	4.6
164700	-92.6642	30.2003	7.6
165026	-91.9875	30.205	11.6
166664	-90.1303	29.9167	6.1
167344	-93.7981	32.9078	88.4
168163	-91.2336	31.9497	23.8
169013	-90.78	29.7758	4.6
169806	-91.7019	32.0994	24.4
170100	-68.2592	44.3739	143.3
170814	-69.812	45.6603	323.1
171628	-69.2417	44.9197	90.5
172426	-66.9919	44.9067	25.9
172765	-70.1567	44.6889	128
173046	-69.7889	44.2203	42.7
173944	-67.8417	46.2061	118.9
174566	-70.2167	44.1	54.9
175304	-68.705	45.6503	109.7
176905	-70.3003	43.6497	13.7
176937	-68.0089	46.6539	182.6
179891	-67.4044	45.1572	42.7
180700	-76.9314	39.0303	44.2
181385	-76.0667	38.5667	3
181750	-76.0519	39.2167	12.2
182282	-78.7561	39.6419	222.5
182523	-75.8	38.8833	14.9
183675	-76.8042	38.9689	45.7
185111	-76.9003	39.0847	121.9
185718	-76.61	39.2811	6.1
185985	-75.87	39.2739	9.1
186620	-79.4	39.4133	737.6
186770	-76.6667	38.6833	48.8
187330	-75.6822	38.2122	6.1
187806	-76.1897	38.7144	3
188000	-75.5892	38.365	3
189440	-76.9667	39.55	233.2
189750	-76.8667	39.3333	140.2
190120	-72.5375	42.3861	45.7
190535	-71.2833	42.4833	48.8
190736	-71.1136	42.2122	192
193213	-73.4172	42.145	249
194105	-71.1658	42.6992	15.2
195246	-70.9333	41.6333	21.3
196486	-70.6961	41.9819	13.7
196681	-70.1833	42.05	6.1
196783	-71.1264	42.5242	27.4
198367	-71.0658	41.9003	6.1
198757	-71.2458	42.1608	50.3
199316	-71.4333	42.1333	64
200032	-84.0158	41.9164	231.6
200128	-85.7892	42.58	228.6
200146	-84.6492	43.3864	224
200230	-83.7108	42.2947	274.3
200779	-85.4822	43.7072	283.5
201439	-87.9858	46.5192	487.4
201486	-86.9242	46.3414	265.2
201492	-84.4725	45.6528	179.2
201675	-84.9925	41.9622	299.9
202423	-83.5036	44.2839	178.6
202737	-86.7167	45.6667	227.1
203632	-86.4239	43.6747	234.7
203823	-84.6411	41.9353	329.2
204090	-88.0842	45.7858	326.4
204104	-90.1892	46.4656	435.9
204244	-85.6	42.2833	289.6
205434	-84.2011	43.6089	195.1
205650	-82.8183	42.6083	176.8
205662	-84.7697	43.5858	242.6
205690	-86.6625	46.4122	207.3
205816	-85.5106	46.3133	259.1
206300	-84.18	43.0161	222.5
207690	-86.2833	42.4011	189
207812	-88.6275	46.0556	442
210018	-96.5161	47.2992	276.5
210075	-93.3019	43.6064	374.9
210252	-96.8253	48.3311	258.2
210515	-94.5869	48.7094	323.7
211465	-93.5833	44.8	219.5
211630	-92.5253	46.7047	385.6
212142	-95.8372	46.8372	413
212645	-92.5303	47.4581	440.4
212698	-94.4656	43.6447	361.8
212737	-93.17	44.6697	298.7
212916	-95.7244	47.5636	399.3
213290	-92.5644	43.7047	411.5
213303	-93.4975	47.2436	399.3
214106	-95.1919	47.2256	454.2
214652	-94.2228	47.2467	396.8
215175	-93.6522	47.6308	422.8
215400	-95.9269	45.1219	310.9
215435	-93.2289	44.8831	265.8
215563	-95.7536	44.9364	300.2
215615	-93.3147	45.8775	310.3
215638	-95.8747	45.5903	347.5
215887	-94.4897	44.3006	271.3
216152	-94.9297	44.7628	335.3
216360	-95.0678	46.9006	437.1
216547	-94.1089	46.6694	381
216565	-96.3258	44.0139	519.7
217087	-95.7675	48.8486	319.1
217405	-93.9656	44.3222	259.1
217460	-93.3211	46.7953	376.1
218419	-91.6653	47.0258	190.5
218618	-94.57	47.0744	429.8
219046	-94.1872	43.7692	338.3
219249	-92.6661	44.2992	300.2
220021	-88.5214	33.83	60.4
220488	-89.9806	34.3061	67.1
220955	-88.5797	34.6628	149.4
221094	-90.4581	31.5447	132.6
221389	-90.0361	32.6714	76.2
221707	-90.5572	34.1864	52.7
221865	-89.8361	31.2503	45.7
221880	-88.3847	33.4678	44.2
221962	-88.6178	34.8792	117.3
222094	-90.3775	31.9461	148.4
223107	-89.4208	32.36	137.2
223605	-91.06	33.3592	38.1
223887	-89.3392	31.2547	117.3
223975	-89.9853	34.8161	115.8
224173	-89.4347	34.8219	147.2
224776	-89.5797	33.0583	125
224939	-89.1236	31.6756	68.6
225247	-89.0711	33.1353	177.1
225987	-90.1058	31.5519	58.2
226009	-90.5094	33.4519	35.7
226177	-91.3408	31.5889	59.4
226718	-88.4781	30.3964	3.7
227111	-88.9983	34.1381	123.4
227128	-89.5453	30.8408	95.4
227132	-90.9719	31.985	36.6
228374	-88.7822	33.4692	56.4
229079	-89.5358	34.3803	124.4
229400	-89.6311	34.1583	94.5
229426	-89.3831	30.2947	2.4
229439	-88.6708	31.6772	61
229793	-91.2328	31.0928	121.9
229860	-90.3817	32.9028	32.6
230204	-94.0281	38.1869	259.7
230856	-91.1711	39.3447	270.4
231037	-93.1331	39.4247	201.8
231364	-89.6642	36.1686	82.3
231711	-93.7711	38.395	234.7
231822	-94.6833	40.2394	337.7
232289	-90.8125	36.6206	88.1
232809	-90.4103	37.7922	282.9
234271	-92.1825	38.585	204.2
234705	-94.2697	37.4994	298.7
234825	-92.6936	37.685	389.8
234850	-94.3358	38.8803	304.8
234904	-93.855	39.1828	251.5
235027	-93.9489	37.3908	326.1
235253	-89.9664	37.3036	118.9
235541	-91.8861	39.1756	244.4
235671	-92.4369	39.4194	262.1
235834	-92.2636	37.1528	442
235976	-94.36	36.8639	308.2
237263	-91.7758	37.9572	355.7
237963	-93.7158	40.2472	266.7
