"id"	"long"	"lat"
437	-101.146901	34.390234
438	-100.494478	34.399946
439	-99.841798	34.406178
440	-99.188974	34.408929
441	-98.536117	34.408195
442	-97.883341	34.403978
443	-97.230755	34.39628
444	-96.578474	34.385105
445	-95.926607	34.370459
446	-95.275266	34.352352
447	-94.624561	34.330792
448	-93.974603	34.305792
449	-93.325499	34.277366
450	-92.67736	34.245531
451	-92.03029	34.210303
452	-91.384397	34.171702
453	-90.739785	34.129749
454	-90.096558	34.084469
455	-89.454818	34.035885
456	-88.814665	33.984024
457	-88.176198	33.928914
458	-87.539515	33.870585
459	-86.904711	33.809069
460	-86.27188	33.744399
461	-85.641113	33.676608
462	-85.012501	33.605732
463	-84.386131	33.53181
464	-83.762089	33.454879
465	-83.140459	33.374979
466	-82.521321	33.292151
467	-81.904756	33.206438
468	-81.29084	33.117883
469	-80.679647	33.026529
470	-80.071251	32.932423
471	-118.396096	33.387282
472	-117.173471	33.579608
473	-116.557877	33.671561
474	-115.939526	33.760646
475	-115.318495	33.846817
476	-114.694865	33.93003
477	-114.068716	34.010243
478	-113.440132	34.087414
479	-112.8092	34.161502
480	-112.176007	34.232468
481	-111.540645	34.300275
482	-110.903206	34.364887
483	-110.263785	34.426269
484	-109.622478	34.484387
485	-108.979384	34.53921
486	-108.334603	34.590709
487	-107.688238	34.638854
488	-107.040391	34.683619
489	-106.391168	34.72498
490	-105.740676	34.762913
491	-105.089023	34.797397
492	-104.436317	34.828413
493	-103.782669	34.855943
494	-103.128191	34.879973
495	-102.472994	34.900487
496	-101.817192	34.917475
497	-101.160898	34.930927
498	-100.504226	34.940836
499	-99.847291	34.947195
500	-99.190207	34.950001
501	-98.53309	34.949252
502	-97.876056	34.94495
503	-97.219217	34.937096
504	-96.56269	34.925694
505	-95.906589	34.910752
506	-95.251028	34.892278
507	-94.59612	34.870282
508	-93.941978	34.844777
509	-93.288714	34.815776
510	-92.636437	34.783298
511	-91.98526	34.747359
512	-91.335289	34.70798
513	-90.686633	34.665182
514	-90.039397	34.618991
515	-89.393686	34.56943
516	-88.749604	34.516528
517	-88.10725	34.460314
518	-87.466725	34.400817
519	-86.828127	34.338071
520	-86.191551	34.27211
521	-85.557092	34.202968
522	-84.92484	34.130682
523	-84.294886	34.055291
524	-83.667317	33.976835
525	-83.042218	33.895353
526	-82.419673	33.810889
527	-81.799761	33.723486
528	-81.182562	33.633188
529	-80.56815	33.540041
530	-79.9566	33.444091
531	-79.347983	33.345386
532	-117.902468	33.996892
533	-117.286451	34.093511
534	-116.667536	34.187256
535	-116.045799	34.278081
536	-115.421316	34.365938
537	-114.794171	34.450783
538	-114.164444	34.532572
539	-113.532223	34.611262
540	-112.897595	34.686811
541	-112.26065	34.75918
542	-111.62148	34.828329
543	-110.980181	34.894221
544	-110.336849	34.956821
545	-109.691583	35.016095
546	-109.044483	35.072009
547	-108.395653	35.124534
548	-107.745197	35.17364
549	-107.093221	35.2193
550	-106.439833	35.261488
551	-105.785142	35.300181
552	-105.129259	35.335356
553	-104.472296	35.366994
554	-103.814365	35.395077
555	-103.155582	35.419589
556	-102.496062	35.440515
557	-101.835919	35.457845
558	-101.175272	35.471567
559	-100.514237	35.481675
560	-99.852931	35.488162
561	-99.191474	35.491025
562	-98.529982	35.490261
563	-97.868574	35.485872
564	-97.207368	35.47786
565	-96.546481	35.466229
566	-95.886032	35.450987
567	-95.226138	35.432141
568	-94.566914	35.409703
569	-93.908476	35.383686
570	-93.250939	35.354104
571	-92.594417	35.320974
572	-91.939022	35.284315
573	-91.284866	35.244148
574	-90.63206	35.200495
575	-89.980711	35.153381
576	-89.330926	35.102832
577	-88.682813	35.048876
578	-88.036473	34.991543
579	-87.392009	34.930864
580	-86.749521	34.866874
581	-86.109107	34.799605
582	-85.470862	34.729096
583	-84.834882	34.655383
584	-84.201256	34.578507
585	-83.570075	34.498507
586	-82.941425	34.415426
587	-82.315391	34.329307
588	-81.692054	34.240194
589	-81.071496	34.148134
590	-80.453792	34.053173
591	-79.839018	33.955359
592	-79.227245	33.854741
593	-119.251158	34.303012
594	-118.637972	34.407193
595	-118.021672	34.50855
596	-117.402329	34.607033
597	-116.780018	34.70259
598	-116.154816	34.795175
599	-115.526801	34.884738
600	-114.896057	34.971234
601	-114.262668	35.054618
602	-113.626722	35.134845
603	-112.988307	35.211873
604	-112.347517	35.28566
605	-111.704445	35.356168
606	-111.059189	35.423356
607	-110.411847	35.48719
608	-109.76252	35.547634
609	-109.111313	35.604654
610	-108.458329	35.658218
611	-107.803676	35.708297
612	-107.147463	35.754863
613	-106.4898	35.797889
614	-105.8308	35.83735
615	-105.170575	35.873226
616	-104.509241	35.905494
617	-103.846915	35.934136
618	-103.183712	35.959137
619	-102.519751	35.980481
620	-101.855152	35.998157
621	-101.190035	36.012154
622	-100.524518	36.022463
